prompt,draft_model,variable,value
18,2700,tar,0.5
19,2700,latency,6.24834919
19,2700,tar,0.535714286
20,2700,latency,5.653306723
20,2700,tar,0.625
21,2700,latency,6.565354347
21,2700,tar,0.464285714
22,2700,latency,7.62042594
22,2700,tar,0.375
23,2700,latency,5.673611641
23,2700,tar,0.708333333
24,2700,latency,4.769510508
24,2700,tar,0.85
25,2700,latency,4.764702082
25,2700,tar,0.8
26,2700,latency,7.522076607
26,2700,tar,0.46875
27,2700,latency,7.582649469
27,2700,tar,0.375
28,2700,latency,5.738250494
28,2700,tar,0.583333333
29,2700,latency,4.715611935
29,2700,tar,0.8
30,2700,latency,7.6341784
30,2700,tar,0.375
31,2700,latency,8.635754824
31,2700,tar,0.388888889
32,2700,latency,5.754868031
32,2700,tar,0.75
33,2700,latency,5.784594536
33,2700,tar,0.708333333
34,2700,latency,7.678995132
34,2700,tar,0.375
35,2700,latency,8.652179003
35,2700,tar,0.305555556
36,2700,latency,6.681643486
36,2700,tar,0.464285714
37,2700,latency,6.706362486
37,2700,tar,0.5
38,2700,latency,5.687548161
38,2700,tar,0.708333333
39,2700,latency,6.738592148
39,2700,tar,0.607142857
40,2700,latency,5.661831379
40,2700,tar,0.625
41,2700,latency,8.572488308
41,2700,tar,0.333333333
42,2700,latency,7.660318613
42,2700,tar,0.375
43,2700,latency,7.520969152
43,2700,tar,0.40625
44,2700,latency,5.676575899
44,2700,tar,0.625
45,2700,latency,6.567048788
45,2700,tar,0.571428571
46,2700,latency,9.47987318
46,2700,tar,0.275
47,2700,latency,5.762330532
47,2700,tar,0.666666667
48,2700,latency,10.43782544
48,2700,tar,0.227272727
49,2700,latency,6.612919807
49,2700,tar,0.5
50,2700,latency,4.665282249
50,2700,tar,0.75
51,2700,latency,6.516020536
51,2700,tar,0.464285714
52,2700,latency,5.693093061
52,2700,tar,0.75
53,2700,latency,6.537756681
53,2700,tar,0.607142857
54,2700,latency,4.783278942
54,2700,tar,0.75
55,2700,latency,8.520751238
55,2700,tar,0.388888889
56,2700,latency,4.76599431
56,2700,tar,0.8
57,2700,latency,6.716991425
57,2700,tar,0.5
58,2700,latency,8.430020809
58,2700,tar,0.361111111
59,2700,latency,5.658192873
59,2700,tar,0.583333333
60,2700,latency,8.590455532
60,2700,tar,0.361111111
61,2700,latency,6.687841892
61,2700,tar,0.464285714
62,2700,latency,5.661913157
62,2700,tar,0.666666667
63,2700,latency,6.67967248
63,2700,tar,0.464285714
64,2700,latency,7.664943457
64,2700,tar,0.4375
65,2700,latency,3.816221952
65,2700,tar,1
66,2700,latency,6.67855978
66,2700,tar,0.607142857
67,2700,latency,9.473296881
67,2700,tar,0.35
68,2700,latency,9.071074247
68,2700,tar,0.25
69,2700,latency,7.519315958
69,2700,tar,0.375
70,2700,latency,6.629460096
70,2700,tar,0.607142857
72,2700,latency,7.585682869
72,2700,tar,0.5
73,2700,latency,5.670200825
73,2700,tar,0.666666667
74,2700,latency,7.534103155
74,2700,tar,0.4375
75,2700,latency,5.690024614
75,2700,tar,0.583333333
76,2700,latency,9.533960581
76,2700,tar,0.25
77,2700,latency,7.796065807
77,2700,tar,0.375
78,2700,latency,6.619055748
78,2700,tar,0.464285714
79,2700,latency,9.198018312
79,2700,tar,0.25
80,2700,latency,4.782645702
80,2700,tar,0.8
81,2700,latency,6.587707043
81,2700,tar,0.571428571
82,2700,latency,5.671365976
82,2700,tar,0.625
83,2700,latency,6.618437767
83,2700,tar,0.571428571
84,2700,latency,10.52588725
84,2700,tar,0.227272727
85,2700,latency,7.65302372
85,2700,tar,0.46875
86,2700,latency,8.885667324
86,2700,tar,0.35
87,2700,latency,9.496059895
87,2700,tar,0.325
88,2700,latency,7.574383736
88,2700,tar,0.40625
89,2700,latency,9.204859495
89,2700,tar,0.325
90,2700,latency,7.714962244
90,2700,tar,0.375
91,2700,latency,9.826164007
91,2700,tar,0.204545455
92,2700,latency,6.680812836
92,2700,tar,0.571428571
93,2700,latency,8.455794811
93,2700,tar,0.305555556
94,2700,latency,6.585336208
94,2700,tar,0.607142857
95,2700,latency,7.577198029
95,2700,tar,0.4375
96,2700,latency,6.640846014
96,2700,tar,0.464285714
97,2700,latency,6.322868586
97,2700,tar,0.464285714
98,2700,latency,8.720323563
98,2700,tar,0.388888889
99,2700,latency,6.506633759
99,2700,tar,0.535714286
0,1300,latency,4.481510401
0,1300,tar,0.95
1,1300,latency,8.818466902
1,1300,tar,0.25
2,1300,latency,8.776157379
2,1300,tar,0.25
3,1300,latency,7.083502769
3,1300,tar,0.40625
4,1300,latency,7.144389391
4,1300,tar,0.375
5,1300,latency,4.481189728
5,1300,tar,0.85
6,1300,latency,5.404349327
6,1300,tar,0.583333333
7,1300,latency,7.096779346
7,1300,tar,0.375
8,1300,latency,7.091031551
8,1300,tar,0.375
9,1300,latency,4.301502705
9,1300,tar,0.85
10,1300,latency,5.268095255
10,1300,tar,0.708333333
11,1300,latency,5.276711941
11,1300,tar,0.625
12,1300,latency,4.416851282
12,1300,tar,0.8
13,1300,latency,8.062642813
13,1300,tar,0.333333333
14,1300,latency,6.233509779
14,1300,tar,0.5
15,1300,latency,5.33041501
15,1300,tar,0.583333333
16,1300,latency,9.743824244
16,1300,tar,0.272727273
17,1300,latency,5.305117846
17,1300,tar,0.666666667
18,1300,latency,5.216981173
18,1300,tar,0.666666667
19,1300,latency,5.871716022
19,1300,tar,0.464285714
20,1300,latency,3.517925024
20,1300,tar,1
21,1300,latency,4.421712637
21,1300,tar,0.9
22,1300,latency,4.467327833
22,1300,tar,0.8
23,1300,latency,7.981408596
23,1300,tar,0.361111111
24,1300,latency,8.034415245
24,1300,tar,0.416666667
25,1300,latency,8.064856529
25,1300,tar,0.361111111
26,1300,latency,6.105056524
26,1300,tar,0.5
27,1300,latency,6.214099646
27,1300,tar,0.571428571
28,1300,latency,9.853497982
28,1300,tar,0.227272727
29,1300,latency,6.160606623
29,1300,tar,0.5
30,1300,latency,7.182585239
30,1300,tar,0.375
31,1300,latency,7.223953485
31,1300,tar,0.375
32,1300,latency,7.182361126
32,1300,tar,0.4375
33,1300,latency,4.520549536
33,1300,tar,0.8
34,1300,latency,9.02493906
34,1300,tar,0.325
35,1300,latency,10.73557925
35,1300,tar,0.229166667
36,1300,latency,9.855909824
36,1300,tar,0.295454545
37,1300,latency,6.280074358
37,1300,tar,0.535714286
38,1300,latency,6.220897436
38,1300,tar,0.571428571
39,1300,latency,10.76264882
39,1300,tar,0.229166667
40,1300,latency,8.011384487
40,1300,tar,0.333333333
