prompt,draft_model,variable,value
33,13000,tar,0.416666667
34,13000,latency,11.13821292
34,13000,tar,0.583333333
35,13000,latency,14.8920598
35,13000,tar,0.4375
36,13000,latency,11.1081605
36,13000,tar,0.75
37,13000,latency,18.54058576
37,13000,tar,0.3
38,13000,latency,12.83642244
38,13000,tar,0.607142857
39,13000,latency,16.79195285
39,13000,tar,0.361111111
40,13000,latency,10.99454546
40,13000,tar,0.75
41,13000,latency,9.198432446
41,13000,tar,0.9
42,13000,latency,12.93711185
42,13000,tar,0.464285714
43,13000,latency,12.80092192
43,13000,tar,0.535714286
44,13000,latency,14.55579996
44,13000,tar,0.4375
45,13000,latency,9.111277819
45,13000,tar,0.8
46,13000,latency,12.6683054
46,13000,tar,0.5
47,13000,latency,11.05233359
47,13000,tar,0.708333333
48,13000,latency,10.92461395
48,13000,tar,0.583333333
49,13000,latency,10.96585131
49,13000,tar,0.708333333
50,13000,latency,14.62768221
50,13000,tar,0.375
51,13000,latency,16.25381017
51,13000,tar,0.361111111
52,13000,latency,10.89136624
52,13000,tar,0.708333333
53,13000,latency,10.90797591
53,13000,tar,0.583333333
54,13000,latency,11.05661249
54,13000,tar,0.666666667
55,13000,latency,12.69234252
55,13000,tar,0.571428571
56,13000,latency,9.207411051
56,13000,tar,0.8
57,13000,latency,11.00914979
57,13000,tar,0.625
58,13000,latency,10.90530062
58,13000,tar,0.666666667
59,13000,latency,10.90533113
59,13000,tar,0.75
60,13000,latency,18.54181361
60,13000,tar,0.325
61,13000,latency,11.10498238
61,13000,tar,0.625
62,13000,latency,10.94435906
62,13000,tar,0.625
63,13000,latency,12.94354177
63,13000,tar,0.571428571
64,13000,latency,14.69995189
64,13000,tar,0.375
65,13000,latency,16.60421896
65,13000,tar,0.305555556
66,13000,latency,12.93094254
66,13000,tar,0.5
67,13000,latency,7.285730124
67,13000,tar,1
68,13000,latency,13.77828622
68,13000,tar,0.46875
69,13000,latency,11.0028007
69,13000,tar,0.625
70,13000,latency,12.78429246
70,13000,tar,0.535714286
72,13000,latency,9.170031548
72,13000,tar,0.75
73,13000,latency,16.44587302
73,13000,tar,0.361111111
74,13000,latency,10.97580886
74,13000,tar,0.75
75,13000,latency,14.69641638
75,13000,tar,0.375
76,13000,latency,9.186618328
76,13000,tar,0.8
77,13000,latency,13.16440272
77,13000,tar,0.5
78,13000,latency,9.093762159
78,13000,tar,0.9
79,13000,latency,10.60130048
79,13000,tar,0.583333333
80,13000,latency,14.73461342
80,13000,tar,0.40625
81,13000,latency,14.48701739
81,13000,tar,0.40625
82,13000,latency,20.21921897
82,13000,tar,0.227272727
83,13000,latency,11.04986095
83,13000,tar,0.75
84,13000,latency,11.09443355
84,13000,tar,0.75
85,13000,latency,14.8530221
85,13000,tar,0.4375
86,13000,latency,22.17521024
86,13000,tar,0.192307692
87,13000,latency,9.137927771
87,13000,tar,0.75
88,13000,latency,10.88599753
88,13000,tar,0.583333333
89,13000,latency,12.51340652
89,13000,tar,0.5
90,13000,latency,9.331637621
90,13000,tar,0.8
91,13000,latency,13.67184925
91,13000,tar,0.375
92,13000,latency,9.22274518
92,13000,tar,0.75
93,13000,latency,12.59440494
93,13000,tar,0.464285714
94,13000,latency,16.24822068
94,13000,tar,0.416666667
95,13000,latency,9.090246916
95,13000,tar,0.9
96,13000,latency,16.45969224
96,13000,tar,0.361111111
97,13000,latency,10.41229486
97,13000,tar,0.75
98,13000,latency,16.98738575
98,13000,tar,0.361111111
99,13000,latency,8.947452545
99,13000,tar,0.8
